Steven Smith,Jason Holder
Steven Smith,Murali Vijay
Steven Smith,Rishi Dhawan
Steven Smith,Jean-Paul Duminy
Steven Smith,Imran Tahir
Steven Smith,Lendl Simmons
Steven Smith,Rohit Sharma
Steven Smith,Shikhar Dhawan
Steven Smith,Kane Williamson
Steven Smith,Ashish Reddy
MS Dhoni,Aaron Finch
MS Dhoni,Suresh Raina
MS Dhoni,Pravin Tambe
MS Dhoni,Suryakumar Yadav
MS Dhoni,Jason Holder
MS Dhoni,Murali Vijay
MS Dhoni,Glenn Maxwell
MS Dhoni,Lendl Simmons
MS Dhoni,Shikhar Dhawan
MS Dhoni,Kane Williamson
MS Dhoni,Ashish Reddy
Mitchell Marsh,Aaron Finch
Mitchell Marsh,Dhawal Kulkarni
Mitchell Marsh,Pravin Tambe
Mitchell Marsh,Chris Gayle
Mitchell Marsh,Virat Kohli
Mitchell Marsh,Stuart Binny
Mitchell Marsh,Varun Aaron
Mitchell Marsh,Yuzvendra Chahal
Mitchell Marsh,Sreenath Aravind
Mitchell Marsh,Adam Milne
Mitchell Marsh,Shakib Al Hasan
Mitchell Marsh,Yusuf Pathan
Mitchell Marsh,Suryakumar Yadav
Mitchell Marsh,Andre Russell
Mitchell Marsh,Jason Holder
Mitchell Marsh,Umesh Yadav
Mitchell Marsh,Morne Morkel
Mitchell Marsh,Murali Vijay
Mitchell Marsh,Glenn Maxwell
Mitchell Marsh,Axar Patel
Mitchell Marsh,Mohit Sharma
Mitchell Marsh,Sandeep Sharma
Mitchell Marsh,Pawan Negi
Mitchell Marsh,Zaheer Khan
Mitchell Marsh,Nathan Coulter-Nile
Mitchell Marsh,Imran Tahir
Mitchell Marsh,Lendl Simmons
Mitchell Marsh,Rohit Sharma
Mitchell Marsh,Hardik Pandya
Mitchell Marsh,Krunal Pandya
Mitchell Marsh,Jasprit Bumrah
Mitchell Marsh,Shikhar Dhawan
Mitchell Marsh,Kane Williamson
Mitchell Marsh,Ashish Reddy
Mitchell Marsh,Moises Henriques
Mitchell Marsh,Trent Boult
Mitchell Marsh,Bhuvneshwar Kumar
Irfan Pathan,Aaron Finch
Irfan Pathan,Pravin Tambe
Irfan Pathan,Virat Kohli
Irfan Pathan,Stuart Binny
Irfan Pathan,Varun Aaron
Irfan Pathan,Yuzvendra Chahal
Irfan Pathan,Adam Milne
Irfan Pathan,Suryakumar Yadav
Irfan Pathan,Andre Russell
Irfan Pathan,Jason Holder
Irfan Pathan,Morne Morkel
Irfan Pathan,Murali Vijay
Irfan Pathan,Mitchell Johnson
Irfan Pathan,Pawan Negi
Irfan Pathan,Chris Morris
Irfan Pathan,Nathan Coulter-Nile
Irfan Pathan,Imran Tahir
Irfan Pathan,Lendl Simmons
Irfan Pathan,Hardik Pandya
Irfan Pathan,Tim Southee
Irfan Pathan,Jasprit Bumrah
Irfan Pathan,Shikhar Dhawan
Irfan Pathan,Kane Williamson
Irfan Pathan,Ashish Reddy
Irfan Pathan,Trent Boult
